GL173396	GL173396.1
GL173397	GL173397.1
GL173398	GL173398.1
GL173399	GL173399.1
GL173400	GL173400.1
GL173401	GL173401.1
GL173402	GL173402.1
GL173403	GL173403.1
GL173404	GL173404.1
GL173405	GL173405.1
GL173406	GL173406.1
GL173407	GL173407.1
GL173408	GL173408.1
GL173409	GL173409.1
GL173410	GL173410.1
GL173411	GL173411.1
GL173412	GL173412.1
GL173413	GL173413.1
GL173414	GL173414.1
GL173415	GL173415.1
GL173416	GL173416.1
GL173417	GL173417.1
GL173418	GL173418.1
GL173419	GL173419.1
GL173420	GL173420.1
GL173421	GL173421.1
GL173422	GL173422.1
GL173423	GL173423.1
GL173424	GL173424.1
GL173425	GL173425.1
GL173426	GL173426.1
GL173427	GL173427.1
GL173428	GL173428.1
GL173429	GL173429.1
GL173430	GL173430.1
GL173431	GL173431.1
GL173432	GL173432.1
GL173433	GL173433.1
GL173434	GL173434.1
GL173435	GL173435.1
GL173436	GL173436.1
GL173437	GL173437.1
GL173438	GL173438.1
GL173439	GL173439.1
GL173440	GL173440.1
GL173441	GL173441.1
GL173442	GL173442.1
GL173443	GL173443.1
GL173444	GL173444.1
GL173445	GL173445.1
GL173446	GL173446.1
GL173447	GL173447.1
GL173448	GL173448.1
GL173449	GL173449.1
GL173450	GL173450.1
GL173451	GL173451.1
GL173452	GL173452.1
GL173453	GL173453.1
GL173454	GL173454.1
GL173455	GL173455.1
GL173456	GL173456.1
GL173457	GL173457.1
GL173458	GL173458.1
GL173459	GL173459.1
GL173460	GL173460.1
GL173461	GL173461.1
GL173462	GL173462.1
GL173463	GL173463.1
GL173464	GL173464.1
GL173465	GL173465.1
GL173466	GL173466.1
GL173467	GL173467.1
GL173468	GL173468.1
GL173469	GL173469.1
GL173470	GL173470.1
GL173471	GL173471.1
GL173472	GL173472.1
GL173473	GL173473.1
GL173474	GL173474.1
GL173475	GL173475.1
GL173476	GL173476.1
GL173477	GL173477.1
GL173478	GL173478.1
GL173479	GL173479.1
GL173480	GL173480.1
GL173481	GL173481.1
GL173482	GL173482.1
GL173483	GL173483.1
GL173484	GL173484.1
GL173485	GL173485.1
GL173486	GL173486.1
GL173487	GL173487.1
GL173488	GL173488.1
GL173489	GL173489.1
GL173490	GL173490.1
GL173491	GL173491.1
GL173492	GL173492.1
GL173493	GL173493.1
GL173494	GL173494.1
GL173495	GL173495.1
GL173496	GL173496.1
GL173497	GL173497.1
GL173498	GL173498.1
GL173499	GL173499.1
GL173500	GL173500.1
GL173501	GL173501.1
GL173502	GL173502.1
GL173503	GL173503.1
GL173504	GL173504.1
GL173505	GL173505.1
GL173506	GL173506.1
GL173507	GL173507.1
GL173508	GL173508.1
GL173509	GL173509.1
GL173510	GL173510.1
GL173511	GL173511.1
GL173512	GL173512.1
GL173513	GL173513.1
GL173514	GL173514.1
GL173515	GL173515.1
GL173516	GL173516.1
GL173517	GL173517.1
GL173518	GL173518.1
GL173519	GL173519.1
GL173520	GL173520.1
GL173521	GL173521.1
GL173522	GL173522.1
GL173523	GL173523.1
GL173524	GL173524.1
GL173525	GL173525.1
GL173526	GL173526.1
GL173527	GL173527.1
GL173528	GL173528.1
GL173529	GL173529.1
GL173530	GL173530.1
GL173531	GL173531.1
GL173532	GL173532.1
GL173533	GL173533.1
GL173534	GL173534.1
GL173535	GL173535.1
GL173536	GL173536.1
GL173537	GL173537.1
GL173538	GL173538.1
GL173539	GL173539.1
GL173540	GL173540.1
GL173541	GL173541.1
GL173542	GL173542.1
GL173543	GL173543.1
GL173544	GL173544.1
GL173545	GL173545.1
GL173546	GL173546.1
GL173547	GL173547.1
GL173548	GL173548.1
GL173549	GL173549.1
GL173550	GL173550.1
GL173551	GL173551.1
GL173552	GL173552.1
GL173553	GL173553.1
GL173554	GL173554.1
GL173555	GL173555.1
GL173556	GL173556.1
GL173557	GL173557.1
GL173558	GL173558.1
GL173559	GL173559.1
GL173560	GL173560.1
GL173561	GL173561.1
GL173562	GL173562.1
GL173563	GL173563.1
GL173564	GL173564.1
GL173565	GL173565.1
GL173566	GL173566.1
GL173567	GL173567.1
GL173568	GL173568.1
GL173569	GL173569.1
GL173570	GL173570.1
GL173571	GL173571.1
GL173572	GL173572.1
GL173573	GL173573.1
GL173574	GL173574.1
GL173575	GL173575.1
GL173576	GL173576.1
GL173577	GL173577.1
GL173578	GL173578.1
GL173579	GL173579.1
GL173580	GL173580.1
GL173581	GL173581.1
GL173582	GL173582.1
GL173583	GL173583.1
GL173584	GL173584.1
GL173585	GL173585.1
GL173586	GL173586.1
GL173587	GL173587.1
GL173588	GL173588.1
GL173589	GL173589.1
GL173590	GL173590.1
GL173591	GL173591.1
GL173592	GL173592.1
GL173593	GL173593.1
GL173594	GL173594.1
GL173595	GL173595.1
GL173596	GL173596.1
GL173597	GL173597.1
GL173598	GL173598.1
GL173599	GL173599.1
GL173600	GL173600.1
GL173601	GL173601.1
GL173602	GL173602.1
GL173603	GL173603.1
GL173604	GL173604.1
GL173605	GL173605.1
GL173606	GL173606.1
GL173607	GL173607.1
GL173608	GL173608.1
GL173609	GL173609.1
GL173610	GL173610.1
GL173611	GL173611.1
GL173612	GL173612.1
GL173613	GL173613.1
GL173614	GL173614.1
GL173615	GL173615.1
GL173616	GL173616.1
GL173617	GL173617.1
GL173618	GL173618.1
GL173619	GL173619.1
GL173620	GL173620.1
GL173621	GL173621.1
GL173622	GL173622.1
GL173623	GL173623.1
GL173624	GL173624.1
GL173625	GL173625.1
GL173626	GL173626.1
GL173627	GL173627.1
GL173628	GL173628.1
GL173629	GL173629.1
GL173630	GL173630.1
GL173631	GL173631.1
GL173632	GL173632.1
